en.dm00109906,STMicroelectronics,CS70P,typ_supply_current,200 uA,ffe002af_0.csv
tlv274-q1,Texas Instruments,TLV271QDBVRQ1,typ_gbp,3 MHz,ffe002af_1.csv
lm324-n,Texas Instruments,LM324MX/NOPB,typ_supply_current,1.5 mA,ffe002af_1.csv
lm324-n,Texas Instruments,LM324MX/NOPB,typ_gbp,1 MHz,ffe002af_1.csv
lm324-n,Texas Instruments,LM324AMX/NOPB,typ_supply_current,1.5 mA,ffe002af_1.csv
lm324-n,Texas Instruments,LM324AMX/NOPB,typ_gbp,1 MHz,ffe002af_1.csv
lm324-n,Texas Instruments,LM2902MX/NOPB,typ_supply_current,1.5 mA,ffe002af_1.csv
lm324-n,Texas Instruments,LM2902MX/NOPB,typ_gbp,1 MHz,ffe002af_1.csv
lmc6462_lmc6464,Texas Instruments,LMC6464BIN/NOPB,typ_supply_current,90 uA,ffe002af_10.csv
lmc6462_lmc6464,Texas Instruments,LMC6464BIN/NOPB,typ_gbp,50 kHz,ffe002af_10.csv
amc1200-q1,Texas Instruments,AMC1200STDUBRQ1,typ_supply_current,5.4 mA,ffe002af_10.csv
lmc6462_lmc6464,Texas Instruments,LMC6464BIM/NOPB,typ_supply_current,90 uA,ffe002af_10.csv
lmc6462_lmc6464,Texas Instruments,LMC6464BIM/NOPB,typ_gbp,50 kHz,ffe002af_10.csv
opa552,Texas Instruments,OPA551FAKTWT,typ_supply_current,7 mA,ffe002af_10.csv
opa552,Texas Instruments,OPA551FAKTWT,typ_gbp,3 MHz,ffe002af_10.csv
opa552,Texas Instruments,OPA551FAKTWTG3,typ_supply_current,7 mA,ffe002af_10.csv
opa552,Texas Instruments,OPA551FAKTWTG3,typ_gbp,3 MHz,ffe002af_10.csv
opa552,Texas Instruments,OPA552UA,typ_supply_current,7 mA,ffe002af_10.csv
opa552,Texas Instruments,OPA552UA,typ_gbp,12 MHz,ffe002af_10.csv
opa552,Texas Instruments,OPA551PA,typ_supply_current,7 mA,ffe002af_10.csv
opa552,Texas Instruments,OPA551PA,typ_gbp,3 MHz,ffe002af_10.csv
opa552,Texas Instruments,OPA551UA,typ_supply_current,7 mA,ffe002af_10.csv
opa552,Texas Instruments,OPA551UA,typ_gbp,3 MHz,ffe002af_10.csv
lmc6462_lmc6464,Texas Instruments,LMC6464AIM/NOPB,typ_supply_current,90 uA,ffe002af_10.csv
lmc6462_lmc6464,Texas Instruments,LMC6464AIM/NOPB,typ_gbp,50 kHz,ffe002af_10.csv
amc1200,Texas Instruments,AMC1200SDUB,typ_supply_current,5.4 mA,ffe002af_10.csv
ths3001,Texas Instruments,THS3001CD,typ_supply_current,6.6 mA,ffe002af_12.csv
ths3001,Texas Instruments,THS3001CD,typ_gbp,1.75 GHz,ffe002af_12.csv
ths3001,Texas Instruments,THS3001ID,typ_supply_current,6.6 mA,ffe002af_12.csv
ths3001,Texas Instruments,THS3001ID,typ_gbp,1.75 GHz,ffe002af_12.csv
ths3001,Texas Instruments,THS3001HVIDGN,typ_supply_current,6.9 mA,ffe002af_12.csv
ths3001,Texas Instruments,THS3001HVIDGN,typ_gbp,1.75 GHz,ffe002af_12.csv
opa548,Texas Instruments,OPA548FKTWT,typ_supply_current,17 mA,ffe002af_12.csv
opa548,Texas Instruments,OPA548FKTWT,typ_gbp,1 MHz,ffe002af_12.csv
opa129,Texas Instruments,OPA129UB,typ_supply_current,1.2 mA,ffe002af_12.csv
opa129,Texas Instruments,OPA129UB,typ_gbp,1 MHz,ffe002af_12.csv
opa548,Texas Instruments,OPA548T,typ_supply_current,17 mA,ffe002af_12.csv
opa548,Texas Instruments,OPA548T,typ_gbp,1 MHz,ffe002af_12.csv
opa548,Texas Instruments,OPA548T-1,typ_supply_current,17 mA,ffe002af_12.csv
opa548,Texas Instruments,OPA548T-1,typ_gbp,1 MHz,ffe002af_12.csv
opa548,Texas Instruments,OPA548TG3,typ_supply_current,17 mA,ffe002af_12.csv
opa548,Texas Instruments,OPA548TG3,typ_gbp,1 MHz,ffe002af_12.csv
lm324-d,ON Semiconductor,LM2902DR2G,typ_supply_current,1.4 mA,ffe002af_12.csv
lm324-d,ON Semiconductor,LM2902DR2G,typ_gbp,1 MHz,ffe002af_12.csv
lm324-d,ON Semiconductor,LM324ADR2G,typ_supply_current,1.4 mA,ffe002af_12.csv
lm324-d,ON Semiconductor,LM324ADR2G,typ_gbp,1 MHz,ffe002af_12.csv
lm324-d,ON Semiconductor,LM324DTBR2G,typ_supply_current,1.4 mA,ffe002af_12.csv
lm324-d,ON Semiconductor,LM324DTBR2G,typ_gbp,1 MHz,ffe002af_12.csv
en.cd00000533,STMicroelectronics,LM2902YDT,typ_supply_current,1.5 mA,ffe002af_12.csv
en.cd00000533,STMicroelectronics,LM2902YDT,typ_gbp,1.3 MHz,ffe002af_12.csv
lm2900,Texas Instruments,LM3900DR,typ_supply_current,6.2 mA,ffe002af_12.csv
lm2900,Texas Instruments,LM3900DR,typ_gbp,2.5 MHz,ffe002af_12.csv
lm324-d,ON Semiconductor,LM224DTBR2G,typ_supply_current,1.4 mA,ffe002af_12.csv
lm324-d,ON Semiconductor,LM224DTBR2G,typ_gbp,1 MHz,ffe002af_12.csv
lm324-d,ON Semiconductor,NCV2902DTBR2G,typ_supply_current,1.4 mA,ffe002af_13.csv
lm324-d,ON Semiconductor,NCV2902DTBR2G,typ_gbp,1 MHz,ffe002af_13.csv
lm2902-q1,Texas Instruments,LM2902KVQDRQ1,typ_supply_current,1.4 mA,ffe002af_13.csv
lm2902-q1,Texas Instruments,LM2902KVQDRQ1,typ_gbp,1.2 MHz,ffe002af_13.csv
en.cd00000492,STMicroelectronics,TL082BIYDT,typ_supply_current,1.4 mA,ffe002af_13.csv
en.cd00000492,STMicroelectronics,TL082BIYDT,typ_gbp,4 MHz,ffe002af_13.csv
lf156,Texas Instruments,LF356MX/NOPB,typ_supply_current,5 mA,ffe002af_13.csv
lf156,Texas Instruments,LF356MX/NOPB,typ_gbp,5 MHz,ffe002af_13.csv
ncs20071-d,ON Semiconductor,NCS20074DR2G,typ_supply_current,465 uA,ffe002af_13.csv
ncs20071-d,ON Semiconductor,NCS20074DR2G,typ_gbp,3.2 MHz,ffe002af_13.csv
lm2900,Texas Instruments,LM3900N,typ_supply_current,6.2 mA,ffe002af_14.csv
lm2900,Texas Instruments,LM3900N,typ_gbp,2.5 MHz,ffe002af_14.csv
lm2900,Texas Instruments,LM2900N,typ_supply_current,6.2 mA,ffe002af_14.csv
lm2900,Texas Instruments,LM2900N,typ_gbp,2.5 MHz,ffe002af_14.csv
lm324-n,Texas Instruments,LM324MX,typ_supply_current,1.5 mA,ffe002af_14.csv
lm324-n,Texas Instruments,LM324MX,typ_gbp,1 MHz,ffe002af_14.csv
ina211,Texas Instruments,INA212AIDCKR,typ_supply_current,65 uA,ffe002af_14.csv
ina211,Texas Instruments,INA212AIDCKR,typ_gbp,4 kHz,ffe002af_14.csv
ina211,Texas Instruments,INA210BIDCKR,typ_supply_current,65 uA,ffe002af_14.csv
ina211,Texas Instruments,INA210BIDCKR,typ_gbp,14 kHz,ffe002af_14.csv
opa2317,Texas Instruments,OPA317IDBVR,typ_supply_current,21 uA,ffe002af_14.csv
opa2317,Texas Instruments,OPA317IDBVR,typ_gbp,300 kHz,ffe002af_14.csv
ina211,Texas Instruments,INA213CIDCKR,typ_supply_current,65 uA,ffe002af_14.csv
ina211,Texas Instruments,INA213CIDCKR,typ_gbp,80 kHz,ffe002af_14.csv
tl051,Texas Instruments,TL052CP,typ_supply_current,4.8 mA,ffe002af_14.csv
tl051,Texas Instruments,TL052CP,typ_gbp,3 MHz,ffe002af_14.csv
opa2357,Texas Instruments,OPA357AIDBVR,typ_supply_current,4.9 mA,ffe002af_14.csv
opa2357,Texas Instruments,OPA357AIDBVR,typ_gbp,100 MHz,ffe002af_14.csv
lf156,Texas Instruments,LF356M/NOPB,typ_supply_current,5 mA,ffe002af_14.csv
lf156,Texas Instruments,LF356M/NOPB,typ_gbp,5 MHz,ffe002af_14.csv
opa2317,Texas Instruments,OPA2317IDR,typ_supply_current,21 uA,ffe002af_14.csv
opa2317,Texas Instruments,OPA2317IDR,typ_gbp,300 kHz,ffe002af_14.csv
lmv641,Texas Instruments,LMV641MF/NOPB,typ_supply_current,158 uA,ffe002af_14.csv
lmv641,Texas Instruments,LMV641MF/NOPB,typ_gbp,10 MHz,ffe002af_14.csv
lm324-n,Texas Instruments,LM324N/NOPB,typ_supply_current,1.4 mA,ffe002af_15.csv
lm324-n,Texas Instruments,LM324N/NOPB,typ_gbp,1.2 MHz,ffe002af_15.csv
opa2317,Texas Instruments,OPA317IDBVT,typ_supply_current,21 uA,ffe002af_15.csv
opa2317,Texas Instruments,OPA317IDBVT,typ_gbp,300 kHz,ffe002af_15.csv
lm324-n,Texas Instruments,LM324AN/NOPB,typ_supply_current,1.4 mA,ffe002af_15.csv
lm324-n,Texas Instruments,LM324AN/NOPB,typ_gbp,1.2 MHz,ffe002af_15.csv
ina240,Texas Instruments,INA240A4PWR,typ_supply_current,1.8 mA,ffe002af_15.csv
lm324-n,Texas Instruments,LM2902M/NOPB,typ_supply_current,1.5 mA,ffe002af_15.csv
lm324-n,Texas Instruments,LM2902M/NOPB,typ_gbp,1 MHz,ffe002af_15.csv
opa1654,Texas Instruments,OPA1654AIPWR,typ_supply_current,2 mA,ffe002af_15.csv
opa1654,Texas Instruments,OPA1654AIPWR,typ_gbp,18 MHz,ffe002af_15.csv
lmc6041,Texas Instruments,LMC6041AIMX/NOPB,typ_supply_current,18 uA,ffe002af_15.csv
lmc6041,Texas Instruments,LMC6041AIMX/NOPB,typ_gbp,75 kHz,ffe002af_15.csv
opa2357,Texas Instruments,OPA2357AIDGSR,typ_supply_current,4.9 mA,ffe002af_15.csv
opa2357,Texas Instruments,OPA2357AIDGSR,typ_gbp,100 MHz,ffe002af_15.csv
opa378,Texas Instruments,OPA378AIDCKT,typ_supply_current,125 uA,ffe002af_15.csv
opa378,Texas Instruments,OPA378AIDCKT,typ_gbp,900 kHz,ffe002af_15.csv
opa2357,Texas Instruments,OPA357AIDBVT,typ_supply_current,4.9 mA,ffe002af_15.csv
opa2357,Texas Instruments,OPA357AIDBVT,typ_gbp,100 MHz,ffe002af_15.csv
opa2330,Texas Instruments,OPA330AIDBVT,typ_supply_current,21 uA,ffe002af_15.csv
opa2330,Texas Instruments,OPA330AIDBVT,typ_gbp,350 kHz,ffe002af_15.csv
opa2330,Texas Instruments,OPA330AIYFFT,typ_supply_current,21 uA,ffe002af_15.csv
opa2330,Texas Instruments,OPA330AIYFFT,typ_gbp,350 kHz,ffe002af_15.csv
lf411,Texas Instruments,LF411CD,typ_supply_current,2 mA,ffe002af_15.csv
lf411,Texas Instruments,LF411CD,typ_gbp,3 MHz,ffe002af_15.csv
lm324-n,Texas Instruments,LM324M,typ_supply_current,1.5 mA,ffe002af_15.csv
lm324-n,Texas Instruments,LM324M,typ_gbp,1 MHz,ffe002af_15.csv
tl051,Texas Instruments,TL052ID,typ_supply_current,4.8 mA,ffe002af_16.csv
tl051,Texas Instruments,TL052ID,typ_gbp,3 MHz,ffe002af_16.csv
opa625,Texas Instruments,OPA625IDBVT,typ_supply_current,2 mA,ffe002af_16.csv
opa625,Texas Instruments,OPA625IDBVT,typ_gbp,120 MHz,ffe002af_16.csv
opa363,Texas Instruments,OPA2364AIDGKT,typ_supply_current,1.1 mA,ffe002af_16.csv
opa363,Texas Instruments,OPA2364AIDGKT,typ_gbp,7 MHz,ffe002af_16.csv
tl051,Texas Instruments,TL052ACP,typ_supply_current,4.8 mA,ffe002af_16.csv
tl051,Texas Instruments,TL052ACP,typ_gbp,3 MHz,ffe002af_16.csv
opa1654,Texas Instruments,OPA1652AID,typ_supply_current,2 mA,ffe002af_16.csv
opa1654,Texas Instruments,OPA1652AID,typ_gbp,18 MHz,ffe002af_16.csv
opa1654,Texas Instruments,OPA1652AIDGK,typ_supply_current,2 mA,ffe002af_16.csv
opa1654,Texas Instruments,OPA1652AIDGK,typ_gbp,18 MHz,ffe002af_16.csv
opa363,Texas Instruments,OPA2363IDGST,typ_supply_current,1.1 mA,ffe002af_16.csv
opa363,Texas Instruments,OPA2363IDGST,typ_gbp,7 MHz,ffe002af_16.csv
lmc6035,Texas Instruments,LMC6036IM/NOPB,typ_supply_current,1.3 mA,ffe002af_16.csv
lmc6035,Texas Instruments,LMC6036IM/NOPB,typ_gbp,1.4 MHz,ffe002af_16.csv
lmc6041,Texas Instruments,LMC6041IN/NOPB,typ_supply_current,18 uA,ffe002af_16.csv
lmc6041,Texas Instruments,LMC6041IN/NOPB,typ_gbp,75 kHz,ffe002af_16.csv
ina240,Texas Instruments,INA240A1PW,typ_supply_current,1.8 mA,ffe002af_16.csv
ina240,Texas Instruments,INA240A2PW,typ_supply_current,1.8 mA,ffe002af_16.csv
lmc6462_lmc6464,Texas Instruments,LMC6462BIM/NOPB,typ_supply_current,50 uA,ffe002af_16.csv
lmc6462_lmc6464,Texas Instruments,LMC6462BIM/NOPB,typ_gbp,50 kHz,ffe002af_16.csv
opa363,Texas Instruments,OPA2364IDGKT,typ_supply_current,1.1 mA,ffe002af_16.csv
opa363,Texas Instruments,OPA2364IDGKT,typ_gbp,7 MHz,ffe002af_16.csv
lmc6041,Texas Instruments,LMC6041AIM/NOPB,typ_supply_current,18 uA,ffe002af_16.csv
lmc6041,Texas Instruments,LMC6041AIM/NOPB,typ_gbp,75 kHz,ffe002af_16.csv
opa363,Texas Instruments,OPA4364AIPWT,typ_supply_current,1.1 mA,ffe002af_16.csv
opa363,Texas Instruments,OPA4364AIPWT,typ_gbp,7 MHz,ffe002af_16.csv
opa2317,Texas Instruments,OPA4317IPW,typ_supply_current,21 uA,ffe002af_16.csv
opa2317,Texas Instruments,OPA4317IPW,typ_gbp,300 kHz,ffe002af_16.csv
opa1654,Texas Instruments,OPA1654AID,typ_supply_current,2 mA,ffe002af_16.csv
opa1654,Texas Instruments,OPA1654AID,typ_gbp,18 MHz,ffe002af_16.csv
opa1654,Texas Instruments,OPA1654AIPW,typ_supply_current,2 mA,ffe002af_16.csv
opa1654,Texas Instruments,OPA1654AIPW,typ_gbp,18 MHz,ffe002af_16.csv
lmc7111,Texas Instruments,LMC7111BIM5X/NOPB,typ_supply_current,25 uA,ffe002af_2.csv
lmc7111,Texas Instruments,LMC7111BIM5X/NOPB,typ_gbp,50 kHz,ffe002af_2.csv
lf411,Texas Instruments,LF411CDR,typ_supply_current,2 mA,ffe002af_2.csv
lf411,Texas Instruments,LF411CDR,typ_gbp,3 MHz,ffe002af_2.csv
lmc7111,Texas Instruments,LMC7111BIM5/NOPB,typ_supply_current,25 uA,ffe002af_2.csv
lmc7111,Texas Instruments,LMC7111BIM5/NOPB,typ_gbp,50 kHz,ffe002af_2.csv
ina211,Texas Instruments,INA214AIDCKR,typ_supply_current,65 uA,ffe002af_2.csv
ina211,Texas Instruments,INA214AIDCKR,typ_gbp,30 kHz,ffe002af_2.csv
lm324-n,Texas Instruments,LM324MTX/NOPB,typ_supply_current,1.5 mA,ffe002af_2.csv
lm324-n,Texas Instruments,LM324MTX/NOPB,typ_gbp,1 MHz,ffe002af_2.csv
ina211,Texas Instruments,INA213AIDCKR,typ_supply_current,65 uA,ffe002af_2.csv
ina211,Texas Instruments,INA213AIDCKR,typ_gbp,80 kHz,ffe002af_2.csv
ina211,Texas Instruments,INA210AIDCKR,typ_supply_current,65 uA,ffe002af_2.csv
ina211,Texas Instruments,INA210AIDCKR,typ_gbp,14 kHz,ffe002af_2.csv
ina211,Texas Instruments,INA214BIDCKR,typ_supply_current,65 uA,ffe002af_2.csv
ina211,Texas Instruments,INA214BIDCKR,typ_gbp,14 kHz,ffe002af_2.csv
ina211,Texas Instruments,INA213BIDCKR,typ_supply_current,65 uA,ffe002af_2.csv
ina211,Texas Instruments,INA213BIDCKR,typ_gbp,14 kHz,ffe002af_2.csv
ina211,Texas Instruments,INA211AIDCKR,typ_supply_current,65 uA,ffe002af_2.csv
ina211,Texas Instruments,INA211AIDCKR,typ_gbp,7 kHz,ffe002af_2.csv
lme49721,Texas Instruments,LME49721MAX/NOPB,typ_supply_current,2.15 mA,ffe002af_2.csv
lme49721,Texas Instruments,LME49721MAX/NOPB,typ_gbp,20 MHz,ffe002af_2.csv
lmc6035,Texas Instruments,LMC6035IMX/NOPB,typ_supply_current,650 uA,ffe002af_2.csv
lmc6035,Texas Instruments,LMC6035IMX/NOPB,typ_gbp,1.4 MHz,ffe002af_2.csv
lmc6035,Texas Instruments,LMC6035IMM/NOPB,typ_supply_current,650 uA,ffe002af_3.csv
lmc6035,Texas Instruments,LMC6035IMM/NOPB,typ_gbp,1.4 MHz,ffe002af_3.csv
tlv2474,Texas Instruments,TLV2471CDBVR,typ_supply_current,600 uA,ffe002af_3.csv
tlv2474,Texas Instruments,TLV2471CDBVR,typ_gbp,2.8 MHz,ffe002af_3.csv
opa363,Texas Instruments,OPA364AIDBVR,typ_supply_current,1.1 mA,ffe002af_3.csv
opa363,Texas Instruments,OPA364AIDBVR,typ_gbp,7 MHz,ffe002af_3.csv
lf156,Texas Instruments,LF356N/NOPB,typ_supply_current,5 mA,ffe002af_3.csv
lf156,Texas Instruments,LF356N/NOPB,typ_gbp,5 MHz,ffe002af_3.csv
opa2330,Texas Instruments,OPA330AIDCKR,typ_supply_current,21 uA,ffe002af_3.csv
opa2330,Texas Instruments,OPA330AIDCKR,typ_gbp,350 kHz,ffe002af_3.csv
lmc6035,Texas Instruments,LMC6035ITLX/NOPB,typ_supply_current,650 uA,ffe002af_3.csv
lmc6035,Texas Instruments,LMC6035ITLX/NOPB,typ_gbp,1.4 MHz,ffe002af_3.csv
opa378,Texas Instruments,OPA378AIDCKR,typ_supply_current,125 uA,ffe002af_3.csv
opa378,Texas Instruments,OPA378AIDCKR,typ_gbp,900 kHz,ffe002af_3.csv
opa2330,Texas Instruments,OPA330AIDBVR,typ_supply_current,21 uA,ffe002af_3.csv
opa2330,Texas Instruments,OPA330AIDBVR,typ_gbp,350 kHz,ffe002af_3.csv
opa378,Texas Instruments,OPA378AIDBVR,typ_supply_current,125 uA,ffe002af_3.csv
opa378,Texas Instruments,OPA378AIDBVR,typ_gbp,900 kHz,ffe002af_3.csv
opa1654,Texas Instruments,OPA1652AIDR,typ_supply_current,2 mA,ffe002af_3.csv
opa1654,Texas Instruments,OPA1652AIDR,typ_gbp,18 MHz,ffe002af_3.csv
tle2141-q1,Texas Instruments,TLE2141QDRQ1,typ_supply_current,3.5 mA,ffe002af_3.csv
tle2141-q1,Texas Instruments,TLE2141QDRQ1,typ_gbp,5.9 MHz,ffe002af_3.csv
tl051,Texas Instruments,TL052ACDR,typ_supply_current,4.8 mA,ffe002af_3.csv
tl051,Texas Instruments,TL052ACDR,typ_gbp,3 MHz,ffe002af_3.csv
tlv2474,Texas Instruments,TLV2471IDBVR,typ_supply_current,600 uA,ffe002af_3.csv
tlv2474,Texas Instruments,TLV2471IDBVR,typ_gbp,2.8 MHz,ffe002af_3.csv
opa1654,Texas Instruments,OPA1652AIDGKR,typ_supply_current,2 mA,ffe002af_3.csv
opa1654,Texas Instruments,OPA1652AIDGKR,typ_gbp,18 MHz,ffe002af_3.csv
lmc6041,Texas Instruments,LMC6041IMX/NOPB,typ_supply_current,18 uA,ffe002af_3.csv
lmc6041,Texas Instruments,LMC6041IMX/NOPB,typ_gbp,75 kHz,ffe002af_3.csv
lmv841,Texas Instruments,LMV841MGX/NOPB,typ_supply_current,1.03 mA,ffe002af_4.csv
lmv841,Texas Instruments,LMV841MGX/NOPB,typ_gbp,4.5 MHz,ffe002af_4.csv
ina211,Texas Instruments,INA211AIDCKT,typ_supply_current,65 uA,ffe002af_4.csv
ina211,Texas Instruments,INA211AIDCKT,typ_gbp,7 kHz,ffe002af_4.csv
ina211,Texas Instruments,INA213BIDCKT,typ_supply_current,65 uA,ffe002af_4.csv
ina211,Texas Instruments,INA213BIDCKT,typ_gbp,14 kHz,ffe002af_4.csv
ina211,Texas Instruments,INA212AIDCKT,typ_supply_current,65 uA,ffe002af_4.csv
ina211,Texas Instruments,INA212AIDCKT,typ_gbp,4 kHz,ffe002af_4.csv
lmv841,Texas Instruments,LMV841MG/NOPB,typ_supply_current,1.03 mA,ffe002af_4.csv
lmv841,Texas Instruments,LMV841MG/NOPB,typ_gbp,4.5 MHz,ffe002af_4.csv
lmc6035,Texas Instruments,LMC6036IMX/NOPB,typ_supply_current,1.3 mA,ffe002af_4.csv
lmc6035,Texas Instruments,LMC6036IMX/NOPB,typ_gbp,1.4 MHz,ffe002af_4.csv
ina211,Texas Instruments,INA214AIDCKT,typ_supply_current,65 uA,ffe002af_4.csv
ina211,Texas Instruments,INA214AIDCKT,typ_gbp,30 kHz,ffe002af_4.csv
ina211,Texas Instruments,INA210AIDCKT,typ_supply_current,65 uA,ffe002af_4.csv
ina211,Texas Instruments,INA210AIDCKT,typ_gbp,14 kHz,ffe002af_4.csv
ina211,Texas Instruments,INA213AIDCKT,typ_supply_current,65 uA,ffe002af_4.csv
ina211,Texas Instruments,INA213AIDCKT,typ_gbp,80 kHz,ffe002af_4.csv
ina211,Texas Instruments,INA214BIDCKT,typ_supply_current,65 uA,ffe002af_4.csv
ina211,Texas Instruments,INA214BIDCKT,typ_gbp,14 kHz,ffe002af_4.csv
tlv2474,Texas Instruments,TLV2472CDR,typ_supply_current,600 uA,ffe002af_4.csv
tlv2474,Texas Instruments,TLV2472CDR,typ_gbp,2.8 MHz,ffe002af_4.csv
ina240,Texas Instruments,INA240A1PWR,typ_supply_current,1.8 mA,ffe002af_4.csv
ina240,Texas Instruments,INA240A3PWR,typ_supply_current,1.8 mA,ffe002af_4.csv
ina240,Texas Instruments,INA240A2PWR,typ_supply_current,1.8 mA,ffe002af_4.csv
lm324-n,Texas Instruments,LM324M/NOPB,typ_supply_current,1.5 mA,ffe002af_4.csv
lm324-n,Texas Instruments,LM324M/NOPB,typ_gbp,1 MHz,ffe002af_4.csv
opa2330,Texas Instruments,OPA2330AIDR,typ_supply_current,21 uA,ffe002af_4.csv
opa2330,Texas Instruments,OPA2330AIDR,typ_gbp,350 kHz,ffe002af_4.csv
lmc6462_lmc6464,Texas Instruments,LMC6462BIMX/NOPB,typ_supply_current,50 uA,ffe002af_4.csv
lmc6462_lmc6464,Texas Instruments,LMC6462BIMX/NOPB,typ_gbp,50 kHz,ffe002af_4.csv
lm324-n,Texas Instruments,LM324AM/NOPB,typ_supply_current,1.5 mA,ffe002af_4.csv
lm324-n,Texas Instruments,LM324AM/NOPB,typ_gbp,1 MHz,ffe002af_4.csv
lmv841,Texas Instruments,LMV841QMG/NOPB,typ_supply_current,1.03 mA,ffe002af_4.csv
lmv841,Texas Instruments,LMV841QMG/NOPB,typ_gbp,4.5 MHz,ffe002af_4.csv
opa2330,Texas Instruments,OPA2330AIDGKR,typ_supply_current,21 uA,ffe002af_5.csv
opa2330,Texas Instruments,OPA2330AIDGKR,typ_gbp,350 kHz,ffe002af_5.csv
opa2317,Texas Instruments,OPA4317IPWR,typ_supply_current,21 uA,ffe002af_5.csv
opa2317,Texas Instruments,OPA4317IPWR,typ_gbp,300 kHz,ffe002af_5.csv
opa2317,Texas Instruments,OPA4317IDR,typ_supply_current,21 uA,ffe002af_5.csv
opa2317,Texas Instruments,OPA4317IDR,typ_gbp,300 kHz,ffe002af_5.csv
opa363,Texas Instruments,OPA2364AIDR,typ_supply_current,1.1 mA,ffe002af_5.csv
opa363,Texas Instruments,OPA2364AIDR,typ_gbp,7 MHz,ffe002af_5.csv
opa1654,Texas Instruments,OPA1654AIDR,typ_supply_current,2 mA,ffe002af_5.csv
opa1654,Texas Instruments,OPA1654AIDR,typ_gbp,18 MHz,ffe002af_5.csv
opa378,Texas Instruments,OPA2378AIDCNR,typ_supply_current,125 uA,ffe002af_5.csv
opa378,Texas Instruments,OPA2378AIDCNR,typ_gbp,900 kHz,ffe002af_5.csv
opa191,Texas Instruments,OPA191IDBVR,typ_supply_current,140 uA,ffe002af_5.csv
opa191,Texas Instruments,OPA191IDBVR,typ_gbp,2.5 MHz,ffe002af_5.csv
opa191,Texas Instruments,OPA191IDR,typ_supply_current,140 uA,ffe002af_5.csv
opa191,Texas Instruments,OPA191IDR,typ_gbp,2.5 MHz,ffe002af_5.csv
opa363,Texas Instruments,OPA364AIDBVT,typ_supply_current,1.1 mA,ffe002af_5.csv
opa363,Texas Instruments,OPA364AIDBVT,typ_gbp,7 MHz,ffe002af_5.csv
opa2330,Texas Instruments,OPA330AIDCKT,typ_supply_current,21 uA,ffe002af_5.csv
opa2330,Texas Instruments,OPA330AIDCKT,typ_gbp,350 kHz,ffe002af_5.csv
lmc6035,Texas Instruments,LMC6035ITL/NOPB,typ_supply_current,650 uA,ffe002af_5.csv
lmc6035,Texas Instruments,LMC6035ITL/NOPB,typ_gbp,1.4 MHz,ffe002af_5.csv
opa378,Texas Instruments,OPA378AIDBVT,typ_supply_current,125 uA,ffe002af_5.csv
opa378,Texas Instruments,OPA378AIDBVT,typ_gbp,900 kHz,ffe002af_5.csv
lmv641,Texas Instruments,LMV641MGE/NOPB,typ_supply_current,158 uA,ffe002af_5.csv
lmv641,Texas Instruments,LMV641MGE/NOPB,typ_gbp,10 MHz,ffe002af_5.csv
lm324-n,Texas Instruments,LM324MT/NOPB,typ_supply_current,1.5 mA,ffe002af_5.csv
lm324-n,Texas Instruments,LM324MT/NOPB,typ_gbp,1 MHz,ffe002af_5.csv
